RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,
10755,617.616,54,2,2,2,3,4,6,
5089,288.451,66,2,1,2,3,4,5,
8490,628.031,59,2,2,3,4,4,8,
2133,858.8116,62,1,2,2,2,2,12,
21093,274.2025,73,2,1,2,4,3,5,
13319,690.2719,44,2,3,3,3,2,8,
21129,763.0769,36,2,4,3,1,2,6,
20899,763.0769,39,2,4,2,1,2,6,
19866,1498.9892,23,1,2,2,4,1,6,
16212,786.774,31,2,5,2,2,4,3,
7653,1433.2396,21,2,2,1,2,3,4,
21726,315.4293,58,1,1,3,4,1,6,
5685,786.3986,39,1,4,2,2,3,10,
11581,589.0945,28,1,1,2,2,2,10,
15792,1087.5456,58,1,3,2,4,3,9,
21548,602.2147,51,2,2,1,4,2,7,
12510,636.0893,48,2,2,1,1,1,12,
16070,1052.368,32,1,3,2,2,3,7,
22267,786.774,31,2,3,2,1,2,9,
9605,1698.5247,33,1,4,2,4,1,10,
15343,858.8116,60,1,2,1,2,1,98,
20226,1360.8644,29,2,2,2,2,3,8,
20261,1235.2319,51,2,6,2,4,2,6,
5600,1052.368,33,1,5,2,4,3,6,
20695,699.8059,59,1,2,3,3,1,12,
10480,641.3823,26,1,4,2,1,1,9,
343,396.281,64,2,2,2,1,1,8,
10771,362.5152,59,1,2,2,2,3,8,
21131,699.8059,56,1,2,2,4,2,10,
14392,623.0551,45,2,3,1,1,3,11,
374,414.5726,30,2,3,2,2,2,4,
9896,858.8116,64,1,2,2,2,5,3,
989,628.031,59,2,2,2,1,2,12,
1712,694.5918,66,2,2,4,4,4,11,
4889,483.2875,32,1,1,3,2,3,8,
6528,699.8059,57,1,2,2,4,2,10,
8730,763.0769,36,2,3,2,1,3,11,
5599,1052.368,30,1,4,2,5,3,10,
5958,628.031,57,2,2,2,2,2,11,
5209,628.031,58,2,2,2,1,3,2,
7455,1449.6881,54,1,4,3,5,2,12,
15479,700.3002,28,2,4,3,5,2,7,
21031,699.8059,56,1,2,1,2,2,12,
4253,786.774,33,2,6,4,2,4,7,
8748,295.8122,48,2,1,2,2,2,8,
4691,1045.3174,21,2,4,3,4,3,6,
7302,734.3091,71,1,2,2,3,5,98,
5408,1052.368,33,1,4,1,2,2,12,
3402,602.2147,50,2,2,2,4,2,6,
1698,345.136,41,2,3,2,2,2,10,
20686,978.5353,46,2,4,1,1,5,3,
2824,679.5951,57,1,4,2,5,4,98,
133,381.245,66,1,2,3,5,5,7,
6174,429.4058,60,1,2,2,1,5,8,
1659,1243.7178,31,2,5,2,4,2,7,
6953,1536.1342,15,2,6,7,5,1,1,
2496,598.4624,70,2,2,2,4,2,6,
6287,763.0769,36,2,5,2,2,1,8,
456,1152.1006,18,2,3,2,4,2,6,
16260,1329.0264,29,2,4,1,2,2,8,
19717,636.0893,48,2,2,2,2,4,98,
17134,629.5605,66,2,2,2,5,1,98,
8391,274.2025,74,2,1,1,1,3,98,
10527,699.6261,50,1,2,2,3,2,12,
12331,596.1355,45,1,1,2,4,3,5,
18042,978.5353,48,2,3,3,3,5,5,
20111,275.3599,76,2,1,8,2,2,98,
9361,359.3884,62,2,1,2,1,2,11,
3130,699.6261,54,1,2,2,2,2,10,
2660,990.4221,70,2,3,2,1,9,99,
14053,589.8746,51,2,4,3,1,3,10,
11495,1326.1319,29,1,2,2,1,3,8,
2097,598.4624,72,2,2,2,4,2,98,
20161,387.0993,61,1,1,2,2,2,12,
