,RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,hsd_dif_sqr
5785,904,1948.825,45,1,4,1,1,2,12,2.268289748126587
5786,12533,1516.8513,45,2,2,3,2,3,10,0.24395277464764714
5787,20062,1851.5275,35,2,2,2,1,1,6,0.24395277464764714
5788,11374,2874.0019,41,1,4,9,3,2,9,2.268289748126587
5789,9743,2399.3406,80,2,2,2,5,5,6,0.24395277464764714
5790,11003,4255.1033,23,1,4,2,1,1,1,2.268289748126587
5791,17107,2295.2874,31,1,3,2,1,3,11,0.25612126138711716
5792,22376,653.362,53,2,1,3,4,1,9,2.231784287908177
5793,17339,3409.2247,17,1,5,7,5,2,2,6.280458234866058
5794,13955,2022.195,36,1,4,1,1,2,11,2.268289748126587
5795,7372,905.186,49,1,1,1,1,3,12,2.231784287908177
5796,1439,860.284,80,2,1,1,1,2,98,2.231784287908177
5797,18959,2885.4699,61,1,4,2,1,2,98,2.268289748126587
5798,4562,6143.7088,29,2,4,2,3,1,6,2.268289748126587
5799,10103,1224.6039,59,2,2,1,1,2,12,0.24395277464764714
5800,10617,1883.4311,56,2,3,1,1,1,12,0.25612126138711716
5801,14485,2586.7693,19,2,4,2,3,3,4,2.268289748126587
5802,15624,1156.6023,64,2,3,4,4,3,9,0.25612126138711716
5803,20280,653.362,54,2,1,2,1,1,98,2.231784287908177
5804,788,1576.3323,75,1,2,1,1,3,10,0.24395277464764714
5805,7326,2022.195,37,1,4,2,3,2,11,2.268289748126587
5806,12080,1781.8139,42,1,3,3,4,1,10,0.25612126138711716
5807,15510,1781.8139,40,1,4,3,1,1,98,2.268289748126587
5808,1217,1883.4311,59,2,3,3,4,4,4,0.25612126138711716
5809,15534,1576.3323,79,1,2,3,5,9,98,0.24395277464764714
5810,847,1516.8513,46,2,2,2,4,2,8,0.24395277464764714
5811,17293,628.4919,61,1,1,1,2,3,10,2.231784287908177
5812,15082,1403.918,51,2,2,3,3,1,1,0.24395277464764714
5813,15314,1841.504,42,1,2,2,4,2,9,0.24395277464764714
5814,10338,714.6702,53,1,1,2,1,1,7,2.231784287908177
5815,11765,1601.476,59,1,2,3,4,3,9,0.24395277464764714
5816,15618,1842.5503,33,2,6,2,4,1,1,12.292626721605528
5817,19043,1538.6531,50,1,4,2,1,2,12,2.268289748126587
5818,18599,905.186,48,1,1,2,3,3,9,2.231784287908177
5819,6008,1469.5685,66,2,2,2,4,2,7,0.24395277464764714
5820,3996,2460.8424,53,1,4,3,3,4,7,2.268289748126587
5821,16177,868.5698,34,2,1,3,3,3,9,2.231784287908177
5822,10097,2460.8424,53,1,3,2,2,3,8,0.25612126138711716
5823,19681,6056.4588,21,2,5,2,3,5,3,6.280458234866058
5824,1096,1403.918,54,2,2,2,2,3,98,0.24395277464764714
5825,21820,2586.7693,19,2,3,3,5,2,1,0.25612126138711716
5826,13885,1224.6039,58,2,2,1,2,3,12,0.24395277464764714
5827,21105,1449.359,45,2,4,3,1,1,11,2.268289748126587
5828,13765,2372.1787,34,1,2,2,2,2,98,0.24395277464764714
5829,2840,2885.4699,63,1,4,2,3,5,1,2.268289748126587
5830,750,611.3591,65,2,1,4,3,3,12,2.231784287908177
5831,20151,1781.8139,40,1,3,2,3,2,10,0.25612126138711716
5832,11522,1601.476,57,1,2,2,3,2,10,0.24395277464764714
5833,1277,2874.0019,44,1,5,2,3,2,8,6.280458234866058
5834,1654,2874.0019,41,1,5,3,4,3,5,6.280458234866058
5835,8507,565.1074,65,1,1,2,3,3,4,2.231784287908177
5836,7271,1380.021,73,2,2,2,4,2,7,0.24395277464764714
5837,406,1449.359,45,2,3,2,1,3,98,0.25612126138711716
5838,17879,6143.7088,28,2,6,1,1,4,1,12.292626721605528
5839,9731,1442.7349,64,1,4,2,2,3,98,2.268289748126587
5840,16030,4318.4297,52,2,6,1,1,1,98,12.292626721605528
5841,11342,1462.5535,68,1,2,1,1,1,12,0.24395277464764714
5842,10423,569.9119,58,2,1,2,2,3,10,2.231784287908177
5843,20944,1842.5503,31,2,4,2,1,8,98,2.268289748126587
5844,9956,565.1074,67,1,1,4,5,3,2,2.231784287908177
5845,3,714.6702,51,1,1,2,1,3,12,2.231784287908177
5846,2117,1542.1364,63,2,2,2,1,2,9,0.24395277464764714
5847,19728,1841.504,40,1,2,2,4,4,9,0.24395277464764714
5848,6816,326.681,51,2,1,3,2,3,8,2.231784287908177
5849,18918,4845.1671,22,2,4,2,3,4,6,2.268289748126587
5850,7778,1601.476,55,1,2,3,4,5,6,0.24395277464764714
5851,20067,1479.3814,49,2,2,3,2,3,6,0.24395277464764714
5852,16302,1886.2638,33,2,2,1,2,2,6,0.24395277464764714
5853,18847,2422.5835,24,2,4,1,1,1,1,2.268289748126587
5854,11088,1439.4766,52,2,2,1,4,2,98,0.24395277464764714
5855,1517,688.4815,46,2,1,3,1,2,7,2.231784287908177
5856,9853,1380.021,71,2,2,2,5,1,98,0.24395277464764714
5857,11825,688.4815,47,2,1,2,1,5,12,2.231784287908177
5858,22434,2164.1024,62,1,3,2,1,2,10,0.25612126138711716
5859,6540,1380.021,72,2,2,3,4,3,3,0.24395277464764714
5860,10083,1505.6015,80,1,2,3,5,3,4,0.24395277464764714
5861,19630,1576.3323,75,1,2,2,5,3,4,0.24395277464764714
5862,7848,696.5258,75,1,1,2,3,3,12,2.231784287908177
